2019/08/07 - 00:00:08, 309, 243, 13
2019/08/08 - 00:00:05, 308, 243, 13
2019/08/09 - 00:00:01, 308, 243, 13
2019/08/10 - 00:00:01, 308, 240, 13
2019/08/11 - 00:00:01, 307, 239, 13
2019/08/12 - 00:00:01, 308, 238, 13
2019/08/13 - 00:00:01, 308, 238, 13
2019/08/14 - 00:00:01, 309, 239, 13
2019/08/15 - 00:00:02, 310, 239, 13
2019/08/16 - 00:00:01, 310, 238, 13
2019/08/17 - 00:00:02, 310, 239, 13
2019/08/18 - 00:00:01, 311, 240, 13
2019/08/19 - 00:00:09, 312, 240, 13
2019/08/20 - 00:00:01, 313, 240, 13
2019/08/21 - 00:00:01, 313, 238, 13
2019/08/22 - 00:00:02, 313, 238, 13
2019/08/23 - 00:00:02, 312, 238, 13
2019/08/24 - 00:00:01, 313, 238, 13
2019/08/25 - 00:00:01, 314, 237, 13
2019/08/26 - 00:00:01, 316, 239, 13
2019/08/27 - 00:00:01, 315, 239, 13
2019/08/28 - 00:00:01, 315, 239, 13
2019/08/29 - 00:00:01, 314, 238, 13
2019/08/30 - 00:00:02, 315, 240, 13
2019/08/31 - 00:00:03, 316, 241, 13
2019/09/01 - 00:00:01, 316, 241, 13
2019/09/02 - 00:00:02, 316, 241, 13
2019/09/03 - 00:00:01, 316, 241, 13
2019/09/04 - 00:00:01, 317, 240, 13
2019/09/05 - 00:00:01, 317, 240, 13
2019/09/06 - 00:00:01, 316, 240, 13
2019/09/07 - 00:00:01, 316, 240, 13
2019/09/08 - 00:00:02, 318, 242, 13
2019/09/09 - 00:00:01, 317, 240, 13
2019/09/10 - 00:00:02, 318, 241, 13
2019/09/11 - 00:00:01, 318, 241, 13
2019/09/12 - 00:00:01, 319, 241, 13
2019/09/13 - 00:00:01, 320, 242, 13
2019/09/14 - 00:00:01, 320, 242, 13
2019/09/15 - 00:00:01, 320, 241, 13
2020/03/03 - 00:30:07, 331, 252, 14
2020/03/04 - 00:00:01, 332, 252, 14
2020/03/05 - 00:00:01, 332, 252, 14
2020/03/06 - 00:00:01, 332, 253, 14
2020/03/07 - 00:00:02, 332, 253, 14
2020/03/08 - 00:00:01, 332, 253, 14
2020/03/09 - 00:00:01, 332, 253, 14
2020/03/10 - 00:00:01, 332, 253, 14
2020/03/11 - 00:00:01, 332, 254, 14
2020/03/12 - 00:00:01, 332, 255, 14
2020/03/13 - 00:00:01, 332, 255, 14
2020/03/14 - 00:00:01, 332, 255, 14
2020/03/15 - 00:00:02, 334, 257, 14
2020/03/22 - 00:00:01, 334, 258, 14
2020/03/23 - 00:00:01, 334, 258, 14
2020/03/24 - 00:00:01, 335, 258, 14
2020/03/25 - 00:00:02, 335, 259, 14
2020/03/26 - 00:00:01, 335, 259, 14
2020/03/27 - 00:00:01, 335, 259, 14
2020/03/28 - 00:00:02, 335, 258, 14
2020/03/29 - 00:00:01, 336, 259, 14
2020/03/30 - 00:00:02, 336, 259, 14
2020/03/31 - 00:00:01, 336, 260, 14
2020/04/01 - 00:00:01, 336, 260, 14
2020/04/02 - 00:00:01, 336, 260, 14
2020/04/03 - 00:00:02, 335, 259, 14
2020/04/04 - 00:00:01, 335, 260, 14
2020/04/05 - 00:00:01, 335, 261, 14
2020/04/06 - 00:00:01, 335, 261, 14
2020/04/07 - 00:00:01, 335, 259, 14
2020/04/08 - 00:00:01, 335, 259, 14
2020/04/09 - 00:00:01, 335, 259, 14
2020/04/10 - 00:00:02, 336, 259, 14
2020/04/11 - 00:00:01, 336, 259, 14
2020/04/12 - 00:00:01, 336, 259, 14
2020/04/13 - 00:00:01, 336, 259, 14
2020/04/14 - 00:00:01, 336, 259, 14
2020/04/15 - 00:00:02, 336, 259, 14
2020/04/16 - 00:00:02, 337, 260, 14
2020/04/17 - 00:00:01, 337, 260, 14
2020/04/18 - 00:00:01, 337, 260, 14
2020/04/19 - 00:00:01, 337, 260, 14
2020/04/20 - 00:00:02, 335, 260, 14
2020/04/21 - 00:00:01, 334, 259, 14
2020/04/22 - 00:00:01, 334, 259, 14
2020/04/23 - 00:00:01, 334, 261, 14
2020/04/24 - 00:00:01, 335, 264, 14
2020/04/25 - 00:00:01, 335, 263, 14
2020/04/26 - 00:00:01, 334, 262, 14
2020/04/27 - 00:00:01, 334, 263, 14
2020/04/28 - 00:00:01, 335, 263, 14
2020/04/29 - 00:00:01, 334, 263, 14
2020/04/30 - 00:00:01, 335, 263, 14
2020/05/01 - 00:00:01, 336, 263, 14
2020/05/02 - 00:00:01, 336, 263, 14
2020/05/03 - 00:00:01, 337, 264, 14
2020/05/04 - 00:00:01, 337, 264, 14
